sequence_id	enzyme_type	length	organism	ec_number	pfam_domains	active_site_ok	len_ok	description
tr|A0A366YSW8|A0A366YSW8_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A366YSW8|A0A366YSW8_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A2X1MW20|A0A2X1MW20_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A2X1MW20|A0A2X1MW20_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A2S8JQR0|A0A2S8JQR0_ECOLX	LDC	713	Escherichia coli	4.1.1.18	PF01276	Yes	Yes	tr|A0A2S8JQR0|A0A2S8JQR0_ECOLX lysine decarboxylase OS=Escherichia coli OX=562 GN=ldcC PE=3 SV=1
tr|A0A0N8S5M5|A0A0N8S5M5_PSEA0	ODC	449	Pseudomonas amygdali pv. mori	4.1.1.17	PF01276	Yes	Yes	tr|A0A0N8S5M5|A0A0N8S5M5_PSEA0 ornithine decarboxylase OS=Pseudomonas amygdali pv. mori OX=34065 GN=ALO63_05431 PE=3 SV=1
tr|A0A0Q0BIZ5|A0A0Q0BIZ5_PSESI	ODC	450	Pseudomonas syringae pv. ribicola	4.1.1.17	PF01276	Yes	Yes	tr|A0A0Q0BIZ5|A0A0Q0BIZ5_PSESI ornithine decarboxylase OS=Pseudomonas syringae pv. ribicola OX=55398 GN=ALO47_03545 PE=3 SV=1
tr|A0A2K4WV53|A0A2K4WV53_PSESX	ODC	371	Pseudomonas syringae	4.1.1.17	PF01276	Yes	Yes	tr|A0A2K4WV53|A0A2K4WV53_PSESX ornithine decarboxylase OS=Pseudomonas syringae OX=317 GN=CFBP3840_02703 PE=3 SV=1
tr|A0A244EVI3|A0A244EVI3_PSESX	ODC	371	Pseudomonas syringae	4.1.1.17	PF01276	Yes	Yes	tr|A0A244EVI3|A0A244EVI3_PSESX ornithine decarboxylase OS=Pseudomonas syringae OX=317 GN=BW686_04300 PE=3 SV=1
tr|A0A0P9M5H2|A0A0P9M5H2_9PSED	ODC	371	Pseudomonas syringae pv. coryli	4.1.1.17	PF01276	Yes	Yes	tr|A0A0P9M5H2|A0A0P9M5H2_9PSED ornithine decarboxylase OS=Pseudomonas syringae pv. coryli OX=317659 GN=ALO75_03893 PE=3 SV=1
tr|A0A0N1LPM7|A0A0N1LPM7_9BRAD	ODC	380	Rhodopseudomonas sp. AAP120	4.1.1.17	PF01276	Yes	Yes	tr|A0A0N1LPM7|A0A0N1LPM7_9BRAD ornithine decarboxylase OS=Rhodopseudomonas sp. AAP120 OX=1523430 GN=IP86_27655 PE=3 SV=1
tr|Q9HVQ3|Q9HVQ3_PSEAE	ODC	387	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	4.1.1.17	PF01276	Yes	Yes	tr|Q9HVQ3|Q9HVQ3_PSEAE ornithine decarboxylase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=speC PE=3 SV=1
tr|A0A2M9GB80|A0A2M9GB80_9PSED	ODC	387	Pseudomonas sp. S10E 269	4.1.1.17	PF01276	Yes	Yes	tr|A0A2M9GB80|A0A2M9GB80_9PSED ornithine decarboxylase OS=Pseudomonas sp. S10E 269 OX=2054917 GN=CWC48_06180 PE=3 SV=1
tr|A0A2K4WPY2|A0A2K4WPY2_PSESX	ODC	387	Pseudomonas syringae	4.1.1.17	PF01276	Yes	Yes	tr|A0A2K4WPY2|A0A2K4WPY2_PSESX ornithine decarboxylase OS=Pseudomonas syringae OX=317 GN=CFBP3840_00897 PE=3 SV=1
tr|A0A2K4GCP6|A0A2K4GCP6_9PSED	ODC	387	Pseudomonas sp. FW300-N1A1	4.1.1.17	PF01276	Yes	Yes	tr|A0A2K4GCP6|A0A2K4GCP6_9PSED ornithine decarboxylase OS=Pseudomonas sp. FW300-N1A1 OX=2075555 GN=C1886_07595 PE=3 SV=1
tr|A0A2G0W7B5|A0A2G0W7B5_9PSED	ODC	387	Pseudomonas sp. ICMP 561	4.1.1.17	PF01276	Yes	Yes	tr|A0A2G0W7B5|A0A2G0W7B5_9PSED ornithine decarboxylase OS=Pseudomonas sp. ICMP 561 OX=1718918 GN=AO242_03175 PE=3 SV=1
tr|A0A2D2M318|A0A2D2M318_9PSED	ODC	387	Pseudomonas sp. HLS-6	4.1.1.17	PF01276	Yes	Yes	tr|A0A2D2M318|A0A2D2M318_9PSED ornithine decarboxylase OS=Pseudomonas sp. HLS-6 OX=2049589 GN=CS390_04720 PE=3 SV=1
tr|A0A2A2PIN4|A0A2A2PIN4_9PSED	ODC	387	Pseudomonas moraviensis	4.1.1.17	PF01276	Yes	Yes	tr|A0A2A2PIN4|A0A2A2PIN4_9PSED ornithine decarboxylase OS=Pseudomonas moraviensis OX=321662 GN=CKQ80_09410 PE=3 SV=1
tr|A0A257DWB9|A0A257DWB9_9PSED	ODC	387	Pseudomonas sp. PGPPP1	4.1.1.17	PF01276	Yes	Yes	tr|A0A257DWB9|A0A257DWB9_9PSED ornithine decarboxylase OS=Pseudomonas sp. PGPPP1 OX=2015553 GN=CFE47_19870 PE=3 SV=1
tr|A0A246G425|A0A246G425_9PSED	ODC	387	Pseudomonas sp. K2I15	48	PF01276	Yes	Yes	tr|A0A246G425|A0A246G425_9PSED ornithine decarboxylase OS=Pseudomonas sp. K2I15 OX=2013577 GN=CEC48_04645 PE=3 SV=1
tr|A0A239D3H9|A0A239D3H9_9PSED	ODC	387	Pseudomonas segetis	4.1.1.17	PF01276	Yes	Yes	tr|A0A239D3H9|A0A239D3H9_9PSED ornithine decarboxylase OS=Pseudomonas segetis OX=298908 GN=SAMN05216255_2019 PE=3 SV=1
tr|A0A239D0W8|A0A239D0W8_9PSED	ODC	387	Pseudomonas japonica	4.1.1.17	PF01276	Yes	Yes	tr|A0A239D0W8|A0A239D0W8_9PSED ornithine decarboxylase OS=Pseudomonas japonica OX=256466 GN=SAMN05444352_105166 PE=3 SV=1
tr|A0A223VMS4|A0A223VMS4_9PSED	ODC	387	Pseudomonas sp. NS1(2017)	4.1.1.17	PF01276	Yes	Yes	tr|A0A223VMS4|A0A223VMS4_9PSED ornithine decarboxylase OS=Pseudomonas sp. NS1(2017) OX=2025658 GN=CI807_10970 PE=3 SV=1
tr|A0A1Y6JQL2|A0A1Y6JQL2_PSEVI	ODC	387	Pseudomonas viridiflava	4.1.1.17	PF01276	Yes	Yes	tr|A0A1Y6JQL2|A0A1Y6JQL2_PSEVI ornithine decarboxylase OS=Pseudomonas viridiflava OX=33069 GN=CFBP1590__4650 PE=3 SV=1
tr|A0A1Y3P5E9|A0A1Y3P5E9_9PSED	ODC	387	Pseudomonas caspiana	4.1.1.17	PF01276	Yes	Yes	tr|A0A1Y3P5E9|A0A1Y3P5E9_9PSED ornithine decarboxylase OS=Pseudomonas caspiana OX=1451454 GN=AUC60_10825 PE=3 SV=1
tr|A0A1V0B4F8|A0A1V0B4F8_9GAMM	ODC	387	Halopseudomonas phragmitis	4.1.1.17	PF01276	Yes	Yes	tr|A0A1V0B4F8|A0A1V0B4F8_9GAMM ornithine decarboxylase OS=Halopseudomonas phragmitis OX=1931241 GN=BVH74_07890 PE=3 SV=1
tr|A0A1T1I883|A0A1T1I883_9PSED	ODC	387	Pseudomonas sp. MF4836	4.1.1.17	PF01276	Yes	Yes	tr|A0A1T1I883|A0A1T1I883_9PSED ornithine decarboxylase OS=Pseudomonas sp. MF4836 OX=1960827 GN=MF4836_07405 PE=3 SV=1
tr|A0A1S2UT74|A0A1S2UT74_9PSED	ODC	387	Pseudomonas costantinii	4.1.1.17	PF01276	Yes	Yes	tr|A0A1S2UT74|A0A1S2UT74_9PSED ornithine decarboxylase OS=Pseudomonas costantinii OX=168469 GN=BFL40_22095 PE=3 SV=1
tr|A0A1L5PJF2|A0A1L5PJF2_PSEPU	ODC	387	Pseudomonas putida	4.1.1.17	PF01276	Yes	Yes	tr|A0A1L5PJF2|A0A1L5PJF2_PSEPU ornithine decarboxylase OS=Pseudomonas putida OX=303 GN=BGP84_02470 PE=3 SV=1
tr|A0A1I5JBW9|A0A1I5JBW9_9GAMM	ODC	387	Ectopseudomonas composti	4.1.1.17	PF01276	Yes	Yes	tr|A0A1I5JBW9|A0A1I5JBW9_9GAMM ornithine decarboxylase OS=Ectopseudomonas composti OX=658457 GN=SAMN05216601_101201 PE=3 SV=1
tr|A0A1I3PXQ1|A0A1I3PXQ1_9GAMM	ODC	387	Phytopseudomonas argentinensis	4.1.1.17	PF01276	Yes	Yes	tr|A0A1I3PXQ1|A0A1I3PXQ1_9GAMM ornithine decarboxylase OS=Phytopseudomonas argentinensis OX=289370 GN=SAMN05216602_4515 PE=3 SV=1
tr|A0A1H6YC96|A0A1H6YC96_9PSED	ODC	387	Pseudomonas linyingensis	4.1.1.17	PF01276	Yes	Yes	tr|A0A1H6YC96|A0A1H6YC96_9PSED ornithine decarboxylase OS=Pseudomonas linyingensis OX=915471 GN=SAMN05216201_107119 PE=3 SV=1
tr|A0A1H5FFL3|A0A1H5FFL3_9PSED	ODC	387	Pseudomonas migulae	4.1.1.17	PF01276	Yes	Yes	tr|A0A1H5FFL3|A0A1H5FFL3_9PSED ornithine decarboxylase OS=Pseudomonas migulae OX=78543 GN=SAMN04490194_0741 PE=3 SV=1
tr|A0A1H4UG86|A0A1H4UG86_9PSED	ODC	387	Pseudomonas frederiksbergensis	4.1.1.17	PF01276	Yes	Yes	tr|A0A1H4UG86|A0A1H4UG86_9PSED ornithine decarboxylase OS=Pseudomonas frederiksbergensis OX=104087 GN=SAMN04490185_1882 PE=3 SV=1
tr|A0A1H2B1H5|A0A1H2B1H5_9PSED	ODC	387	Pseudomonas sp. Z003-0.4C(8344-21)	4.1.1.17	PF01276	Yes	Yes	tr|A0A1H2B1H5|A0A1H2B1H5_9PSED ornithine decarboxylase OS=Pseudomonas sp. Z003-0.4C(8344-21) OX=1855380 GN=SAMN05216496_5075 PE=3 SV=1
tr|A0A1H1TA61|A0A1H1TA61_9PSED	ODC	387	Pseudomonas prosekii	4.1.1.17	PF01276	Yes	Yes	tr|A0A1H1TA61|A0A1H1TA61_9PSED ornithine decarboxylase OS=Pseudomonas prosekii OX=1148509 GN=SAMN05216222_1751 PE=3 SV=1
tr|A0A1H0E8T1|A0A1H0E8T1_9PSED	ODC	387	Pseudomonas antarctica	4.1.1.17	PF01276	Yes	Yes	tr|A0A1H0E8T1|A0A1H0E8T1_9PSED ornithine decarboxylase OS=Pseudomonas antarctica OX=219572 GN=SAMN04490179_5887 PE=3 SV=1
tr|A0A1G7TP44|A0A1G7TP44_9GAMM	ODC	387	Phytopseudomonas seleniipraecipitans	4.1.1.17	PF01276	Yes	Yes	tr|A0A1G7TP44|A0A1G7TP44_9GAMM ornithine decarboxylase OS=Phytopseudomonas seleniipraecipitans OX=640205 GN=SAMN05216381_3822 PE=3 SV=1
tr|A0A1F1PY75|A0A1F1PY75_9PSED	ODC	387	Pseudomonas sp. HMSC08G10	4.1.1.17	PF01276	Yes	Yes	tr|A0A1F1PY75|A0A1F1PY75_9PSED ornithine decarboxylase OS=Pseudomonas sp. HMSC08G10 OX=1581141 GN=HMPREF3173_23375 PE=3 SV=1
tr|A0A1C7ZBP6|A0A1C7ZBP6_PSESX	ODC	387	Pseudomonas syringae	4.1.1.17	PF01276	Yes	Yes	tr|A0A1C7ZBP6|A0A1C7ZBP6_PSESX ornithine decarboxylase OS=Pseudomonas syringae OX=317 GN=AFK24_07080 PE=3 SV=1
tr|A0A1C2DVG9|A0A1C2DVG9_9PSED	ODC	387	Pseudomonas graminis	4.1.1.17	PF01276	Yes	Yes	tr|A0A1C2DVG9|A0A1C2DVG9_9PSED ornithine decarboxylase OS=Pseudomonas graminis OX=158627 GN=BBI10_16675 PE=3 SV=1
tr|A0A1B5DQ51|A0A1B5DQ51_9PSED	ODC	387	Pseudomonas sp. 44 R 15	4.1.1.17	PF01276	Yes	Yes	tr|A0A1B5DQ51|A0A1B5DQ51_9PSED ornithine decarboxylase OS=Pseudomonas sp. 44 R 15 OX=1844105 GN=ldc PE=3 SV=1
tr|A0A1B3E211|A0A1B3E211_9PSED	ODC	387	Pseudomonas sp. TCU-HL1	4.1.1.17	PF01276	Yes	Yes	tr|A0A1B3E211|A0A1B3E211_9PSED ornithine decarboxylase OS=Pseudomonas sp. TCU-HL1 OX=1856685 GN=THL1_1033 PE=3 SV=1
tr|A0A177KQC4|A0A177KQC4_9PSED	ODC	387	Pseudomonas monteilii	4.1.1.17	PF01276	Yes	Yes	tr|A0A177KQC4|A0A177KQC4_9PSED ornithine decarboxylase OS=Pseudomonas monteilii OX=76759 GN=AYJ70_04680 PE=3 SV=1
tr|A0A166N0T2|A0A166N0T2_PSEFL	ODC	387	Pseudomonas fluorescens	4.1.1.17	PF01276	Yes	Yes	tr|A0A166N0T2|A0A166N0T2_PSEFL ornithine decarboxylase OS=Pseudomonas fluorescens OX=294 GN=A1D17_10390 PE=3 SV=1
tr|A0A127HWE8|A0A127HWE8_PSEAZ	ODC	387	Pseudomonas azotoformans	4.1.1.17	PF01276	Yes	Yes	tr|A0A127HWE8|A0A127HWE8_PSEAZ ornithine decarboxylase OS=Pseudomonas azotoformans OX=47878 GN=AYR47_11380 PE=3 SV=1
tr|A0A0X7K3J7|A0A0X7K3J7_9PSED	ODC	387	Pseudomonas palleroniana	4.1.1.17	PF01276	Yes	Yes	tr|A0A0X7K3J7|A0A0X7K3J7_9PSED ornithine decarboxylase OS=Pseudomonas palleroniana OX=191390 GN=AWV77_14285 PE=3 SV=1
tr|A0A0Q8AEI0|A0A0Q8AEI0_9PSED	ODC	387	Pseudomonas sp. Root562	4.1.1.17	PF01276	Yes	Yes	tr|A0A0Q8AEI0|A0A0Q8AEI0_9PSED ornithine decarboxylase OS=Pseudomonas sp. Root562 OX=1736561 GN=ASD60_08275 PE=3 SV=1
tr|A0A0Q6ZXN3|A0A0Q6ZXN3_9PSED	ODC	387	Pseudomonas sp. Root401	4.1.1.17	PF01276	Yes	Yes	tr|A0A0Q6ZXN3|A0A0Q6ZXN3_9PSED ornithine decarboxylase OS=Pseudomonas sp. Root401 OX=1736526 GN=ASC85_26965 PE=3 SV=1
tr|A0A0Q6QDD2|A0A0Q6QDD2_9PSED	ODC	387	Pseudomonas sp. Root329	4.1.1.17	PF01276	Yes	Yes	tr|A0A0Q6QDD2|A0A0Q6QDD2_9PSED ornithine decarboxylase OS=Pseudomonas sp. Root329 OX=1736515 GN=ASC74_04850 PE=3 SV=1
tr|A0A0N0WZJ6|A0A0N0WZJ6_PSEAV	ODC	387	Pseudomonas amygdali pv. lachrymans	4.1.1.17	PF01276	Yes	Yes	tr|A0A0N0WZJ6|A0A0N0WZJ6_PSEAV ornithine decarboxylase OS=Pseudomonas amygdali pv. lachrymans OX=53707 GN=ALO35_02156 PE=3 SV=1
